format_type, KFDRC, SPARC, ERCC_DCC, HMP, 4DN_DCIC, GTEx, IDG, LINCS, MW, GlyGen, HuBMAP,
NCBI:txid10116, 0, 1060, 0, 0, 0, 0, 0, 0, 3835, 0, 0, 
NCBI:txid2759, 58427, 2214, 9973, 49471, 4564, 0, 0, 1466838, 138298, 0, 0, 
NCBI:txid33208, 58427, 2214, 9973, 49471, 4564, 0, 0, 1466838, 131868, 0, 0, 
NCBI:txid9823, 0, 247, 0, 0, 0, 0, 0, 0, 650, 0, 0, 
NCBI:txid10090, 0, 412, 57, 0, 1206, 0, 0, 0, 24234, 0, 0, 
NCBI:txid9825, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NCBI:txid9940, 0, 1, 0, 0, 0, 0, 0, 0, 916, 0, 0, 
NCBI:txid9606, 58427, 227, 9916, 49471, 3020, 0, 0, 1466838, 95961, 0, 0, 
NCBI:txid9685, 0, 29, 0, 0, 0, 0, 0, 0, 218, 0, 0, 
NCBI:txid40674, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NCBI:txid10141, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NCBI:txid9615, 0, 83, 0, 0, 0, 0, 0, 0, 345, 0, 0, 
NCBI:txid9669, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NCBI:txid1739269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NCBI:txid1739270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NCBI:txid1739271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NCBI:txid1739272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NCBI:txid1739273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NCBI:txid1739274, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NCBI:txid1739275, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NCBI:txid1739277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NCBI:txid1739278, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NCBI:txid1739279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NCBI:txid1095744, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NCBI:txid1739280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NCBI:txid1739281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NCBI:txid1739282, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NCBI:txid1739283, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NCBI:txid1739284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NCBI:txid1739285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NCBI:txid1739286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NCBI:txid1739287, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NCBI:txid1739288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NCBI:txid1739289, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NCBI:txid1095745, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NCBI:txid1739291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NCBI:txid1739292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NCBI:txid1739295, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NCBI:txid1739296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
